subsidiary_id,order_id,order_timestamp,customer_id,region,country,city,channel,sku,category,qty,unit_price,discount_pct,coupon_code,total_amount,order_date,order_status,shipping_cost
SUB001,ORD-000185,2024-12-21 04:35:00,CUST-9019,Asia Pacific,Singapore,Singapore,Online,SPT-002,Sports,100,329.74,63.41,SAVE10,12065.19,2024-12-22,confirmed,17.1
SUB001,ORD-000186,2024-12-19 14:09:00,CUST-8112,North America,Canada,Montreal,Mobile App,SPT-002,Sports,32,714.54,8.2,,20990.33,2024-12-20,cancelled,6.71
SUB001,ORD-000187,2025-05-27 09:37:00,CUST-8530,Asia Pacific,Australia,Brisbane,Mobile App,HOME-003,Home & Garden,98,273.41,13.25,,23243.95,2025-05-28,confirmed,5.1
SUB001,ORD-000188,2024-12-30 04:10:00,CUST-8176,Europe,Italy,Naples,Mobile App,ELEC-001,Electronics,42,864.39,1.23,SAVE10,35857.84,2024-12-31,confirmed,16.08
SUB001,ORD-000189,2025-02-21 19:56:00,CUST-5630,North America,Mexico,Mexico City,Retail,SPT-002,Sports,22,437.5,42.11,SAVE10,5571.91,2025-02-22,pending,11.02
SUB001,ORD-000190,2025-05-29 23:35:00,CUST-8606,Europe,France,Paris,Mobile App,BOOK-005,Books,43,842.4,37.99,,22462.01,2025-05-30,pending,7.14
SUB001,ORD-000191,2025-08-02 11:40:00,CUST-6985,Europe,Spain,Valencia,Retail,HOME-003,Home & Garden,38,736.19,63.29,WELCOME20,10269.7,2025-08-03,cancelled,14.58
SUB001,ORD-000192,2025-01-25 18:17:00,CUST-6717,Europe,Spain,Barcelona,Mobile App,HOME-001,Home & Garden,99,552.34,95.3,SAVE10,2570.04,2025-01-26,cancelled,16.84
SUB001,ORD-000193,2024-11-28 19:15:00,CUST-8925,Europe,France,Marseille,Online,SPT-004,Sports,55,790.12,7.4,WELCOME20,40240.81,2024-11-29,pending,9.84
SUB001,ORD-000194,2025-06-26 02:18:00,CUST-8273,Asia Pacific,South Korea,Busan,Online,HOME-005,Home & Garden,46,170.51,61.27,WELCOME20,3037.77,2025-06-27,cancelled,7.19
SUB001,ORD-000195,2025-04-14 09:11:00,CUST-5201,Europe,Spain,Madrid,Online,ELEC-003,Electronics,87,590.64,50.05,,25667.15,2025-04-15,pending,13.92
SUB001,ORD-000196,2025-03-12 17:27:00,CUST-8706,Europe,UK,Manchester,Mobile App,ELEC-001,Electronics,62,351.56,9.76,DISCOUNT15,19669.36,2025-03-13,pending,11.24
SUB001,ORD-000197,2025-08-08 00:45:00,CUST-8492,Europe,UK,Manchester,Online,ELEC-001,Electronics,67,178.58,16.01,WELCOME20,10049.29,2025-08-09,shipped,18.54
SUB001,ORD-000198,2025-07-22 09:23:00,CUST-7280,Europe,Germany,Munich,Retail,CLO-004,Clothing,55,391.89,70.47,,6364.88,2025-07-23,delivered,19.75
SUB001,ORD-000199,2025-09-03 15:18:00,CUST-8183,Asia Pacific,Japan,Kyoto,Online,BOOK-002,Books,63,530.07,63.91,WELCOME20,12052.04,2025-09-04,shipped,8.94
SUB001,ORD-000200,2024-11-04 14:02:00,CUST-5965,Asia Pacific,South Korea,Seoul,Wholesale,HOME-004,Home & Garden,79,592.21,67.21,,15340.67,2024-11-05,cancelled,21.27
SUB001,ORD-000201,2025-08-22 05:36:00,CUST-6419,North America,Canada,Toronto,Retail,HOME-002,Home & Garden,55,189.82,63.55,DISCOUNT15,3805.42,2025-08-23,cancelled,13.36
SUB001,ORD-000202,2025-05-01 23:29:00,CUST-9140,Asia Pacific,Australia,Melbourne,Wholesale,CLO-002,Clothing,18,199.15,38.39,WELCOME20,2208.53,2025-05-02,shipped,17.39
SUB001,ORD-000203,2025-10-16 16:42:00,CUST-8746,Asia Pacific,South Korea,Busan,Mobile App,SPT-004,Sports,5,278.48,53.76,,643.85,2025-10-17,delivered,6.65
SUB001,ORD-000204,2025-03-20 06:47:00,CUST-7438,Asia Pacific,South Korea,Seoul,Online,HOME-005,Home & Garden,55,106.9,83.01,,998.93,2025-03-21,shipped,20.2
SUB001,ORD-000205,2025-01-03 01:38:00,CUST-6140,North America,Canada,Vancouver,Wholesale,ELEC-004,Electronics,91,612.2,42.82,WELCOME20,31855.09,2025-01-04,confirmed,9.2
SUB001,ORD-000206,2024-11-05 14:42:00,CUST-5780,North America,USA,New York,Wholesale,BOOK-003,Books,74,271.0,85.8,DISCOUNT15,2847.67,2024-11-06,cancelled,11.47
SUB001,ORD-000207,2025-06-27 02:35:00,CUST-8393,North America,Canada,Toronto,Wholesale,CLO-002,Clothing,63,146.46,63.24,DISCOUNT15,3391.84,2025-06-28,pending,19.23
SUB001,ORD-000208,2025-02-24 13:23:00,CUST-8755,Europe,Spain,Madrid,Online,SPT-005,Sports,1,869.55,84.72,,132.87,2025-02-25,shipped,14.09
SUB001,ORD-000209,2025-06-08 13:25:00,CUST-5396,Asia Pacific,Singapore,Singapore,Mobile App,CLO-004,Clothing,74,134.94,85.24,,1473.87,2025-06-09,pending,10.37
SUB001,ORD-000210,2025-03-26 17:16:00,CUST-5764,North America,USA,Houston,Online,ELEC-002,Electronics,17,882.73,30.19,,10475.97,2025-03-27,delivered,5.01
SUB001,ORD-000211,2024-11-07 16:33:00,CUST-8906,Asia Pacific,Singapore,Singapore,Online,HOME-002,Home & Garden,84,95.74,9.52,,7276.55,2024-11-08,confirmed,17.51
SUB001,ORD-000212,2025-03-29 01:52:00,CUST-5839,North America,USA,Los Angeles,Mobile App,ELEC-001,Electronics,62,75.47,38.31,DISCOUNT15,2886.56,2025-03-30,shipped,24.76
SUB001,ORD-000213,2025-01-16 23:21:00,CUST-6240,North America,Canada,Vancouver,Wholesale,CLO-004,Clothing,84,168.29,35.12,,9171.67,2025-01-17,pending,6.37
SUB001,ORD-000214,2025-01-03 00:36:00,CUST-7029,Europe,Italy,Naples,Mobile App,CLO-001,Clothing,45,963.42,31.45,,29719.1,2025-01-04,confirmed,20.05
SUB001,ORD-000215,2025-06-02 03:57:00,CUST-9865,Europe,UK,London,Wholesale,ELEC-003,Electronics,31,497.41,11.27,SAVE10,13681.91,2025-06-03,pending,19.96
SUB001,ORD-000216,2024-11-16 18:12:00,CUST-9811,North America,Mexico,Mexico City,Wholesale,HOME-002,Home & Garden,61,954.67,77.04,,13370.73,2024-11-17,delivered,12.31
SUB001,ORD-000217,2025-02-17 10:33:00,CUST-6250,North America,USA,Chicago,Retail,ELEC-001,Electronics,90,405.26,64.05,WELCOME20,13112.19,2025-02-18,delivered,17.57
