order_id,order_date,customer_id,sku,model,category,order_type,channel,quantity,unit_price,discount_code,discount_amount,total_amount,payment_method,order_status,city,region,ship_date,browser,os,session_id
ORD-W-000211,2024-08-21 00:27:00,CUST-00024,SKU-0029,Dune,Books,WEB,google_shopping,1,22.49,NEWUSER15,3.37,19.12,DEBIT_CARD,CANCELLED,Hyderabad,South,2024-08-24,Safari,Ubuntu 22.04,SESS-186424
ORD-W-000212,2024-11-28 05:03:00,CUST-00001,SKU-0043,Hair Dryer Pro,Beauty & Personal Care,WEB,facebook_shop,1,50.95,FLAT50,25.48,25.47,COD,DELIVERED,Delhi,North,2024-11-29,Firefox,Windows 10,SESS-181724
ORD-W-000213,2024-04-25 16:43:00,CUST-00123,SKU-0038,Yoga Mat,Health & Fitness,WEB,google_shopping,1,29.82,,0.0,29.82,COD,DELIVERED,Pune,West,2024-04-27,Chrome,macOS Ventura,SESS-501677
ORD-W-000214,2024-02-22 03:20:00,CUST-00018,SKU-0047,Cat Litter 20L,Pet Supplies,WEB,own_website,1,41.62,,0.0,41.62,COD,DELIVERED,Bangalore,South,2024-02-24,Opera,macOS Sonoma,SESS-108886
ORD-W-000215,2024-03-25 14:22:00,CUST-00056,SKU-0042,Vitamin C Serum,Beauty & Personal Care,WEB,affiliate,2,35.25,NEWUSER15,10.57,59.93,COD,CANCELLED,Lucknow,North,2024-03-29,Chrome,Windows 11,SESS-246814
ORD-W-000216,2024-07-15 11:27:00,CUST-00154,SKU-0038,Yoga Mat,Health & Fitness,WEB,own_website,1,30.97,SUMMER25,7.74,23.23,WALLET,DELIVERED,Chennai,South,2024-07-20,Opera,Ubuntu 22.04,SESS-916808
ORD-W-000217,2024-06-03 06:33:00,CUST-00127,SKU-0043,Hair Dryer Pro,Beauty & Personal Care,WEB,own_website,2,49.34,,0.0,98.68,EMI,SHIPPED,Mumbai,West,2024-06-05,Edge,Windows 11,SESS-352792
ORD-W-000218,2024-10-31 02:33:00,CUST-00108,SKU-0041,Face Moisturizer SPF30,Beauty & Personal Care,WEB,instagram_shop,4,34.12,,0.0,136.48,NETBANKING,CANCELLED,Bangalore,South,2024-11-05,Safari,macOS Sonoma,SESS-816116
ORD-W-000219,2024-08-29 02:01:00,CUST-00102,SKU-0049,Fish Tank 20G,Pet Supplies,WEB,google_shopping,2,68.28,FLAT50,68.28,68.28,EMI,PLACED,Mumbai,West,,Opera,Ubuntu 22.04,SESS-759104
ORD-W-000220,2024-07-31 13:44:00,CUST-00053,SKU-0050,Pet Carrier Bag,Pet Supplies,WEB,affiliate,1,-55.56,NEWUSER15,8.33,47.23,CREDIT_CARD,SHIPPED,Hyderabad,South,2024-08-05,Firefox,macOS Sonoma,SESS-442622
ORD-W-000221,2024-11-20 20:43:00,CUST-00023,SKU-0038,Yoga Mat,Health & Fitness,WEB,instagram_shop,2,32.46,,0.0,64.92,CREDIT_CARD,DELIVERED,Chennai,South,2024-11-22,Edge,Windows 11,SESS-575394
ORD-W-000222,2024-01-29 09:42:00,CUST-00003,SKU-0039,Resistance Bands Set,Health & Fitness,WEB,affiliate,2,28.98,FESTIVE20,11.59,46.37,COD,PLACED,Bangalore,South,,Firefox,Windows 10,SESS-463546
ORD-W-000223,2024-05-12 05:23:00,CUST-00086,SKU-0034,Xbox Series Controller,Gaming Accessories,WEB,affiliate,1,67.94,SUMMER25,16.98,50.96,EMI,DELIVERED,Delhi,North,2024-05-13,Edge,Ubuntu 22.04,SESS-649300
ORD-W-000224,2024-12-30 18:40:00,CUST-00095,SKU-0017,Adidas Ultraboost 22,Footwear,WEB,own_website,1,173.48,,0.0,173.48,DEBIT_CARD,CONFIRMED,Lucknow,North,,Firefox,Ubuntu 22.04,SESS-910894
ORD-W-000225,2024-12-11 23:07:00,CUST-00121,SKU-0037,Creatine Monohydrate,Health & Fitness,WEB,own_website,0,24.43,SAVE10,2.44,21.99,DEBIT_CARD,CANCELLED,Mumbai,West,2024-12-12,Safari,Windows 10,SESS-257375
ORD-W-000226,2024-10-10 22:47:00,CUST-00147,SKU-0003,Pixel 8,Mobile Phones,WEB,google_shopping,2,633.38,FLAT50,633.38,633.38,UPI,DELIVERED,Kolkata,East,2024-10-11,Safari,Windows 11,SESS-626428
ORD-W-000227,2024-04-24 16:02:00,CUST-00142,SKU-0012,Samsung Tab S9,Tablets & Accessories,WEB,own_website,5,692.92,,0.0,3464.6,UPI,CANCELLED,Hyderabad,South,2024-04-25,Edge,Windows 11,SESS-486839
ORD-W-000228,2024-10-15 09:47:00,CUST-00195,SKU-0019,Zara Trench Coat,Apparel,WEB,google_shopping,2,115.92,,0.0,231.84,COD,RETURNED,Chennai,South,2024-10-20,Firefox,macOS Ventura,SESS-106687
ORD-W-000229,2024-04-29 17:22:00,CUST-00189,SKU-0002,iPhone 15,Mobile Phones,WEB,instagram_shop,2,1124.68,SAVE10,224.94,2024.42,EMI,RETURNED,Mumbai,West,2024-05-03,Safari,Windows 11,SESS-315161
ORD-W-000230,2024-08-02 15:03:00,CUST-00134,SKU-0016,Nike Air Max 270,Footwear,WEB,affiliate,5,115.13,SUMMER25,143.91,431.74,EMI,CONFIRMED,Chennai,South,,Edge,Ubuntu 22.04,SESS-580728
ORD-W-000231,2024-02-18 16:08:00,CUST-00067,SKU-0038,Yoga Mat,Health & Fitness,WEB,own_website,2,33.2,SAVE10,6.64,59.76,DEBIT_CARD,DELIVERED,Bangalore,South,2024-02-21,Safari,Windows 10,SESS-834764
ORD-W-000232,2024-08-19 08:14:00,CUST-00120,SKU-0021,Instant Pot Duo,Kitchen Appliances,WEB,facebook_shop,1,90.07,FESTIVE20,18.01,72.06,NETBANKING,CONFIRMED,Bangalore,South,,Safari,Windows 10,SESS-226601
ORD-W-000233,2024-04-16 14:19:00,CUST-00181,SKU-0023,Dyson V15,Home Appliances,WEB,affiliate,1,636.81,FESTIVE20,127.36,509.45,EMI,CONFIRMED,Hyderabad,South,,Opera,Windows 11,SESS-325465
ORD-W-000234,2024-02-16 22:15:00,CUST-00008,SKU-0010,ASUS ZenBook 14,Laptops,WEB,facebook_shop,5,1232.83,SAVE10,616.41,5547.74,EMI,DELIVERED,Hyderabad,South,2024-02-18,Edge,Windows 10,SESS-682959
ORD-W-000235,2024-02-18 14:06:00,CUST-00051,SKU-0016,Nike Air Max 270,Footwear,WEB,affiliate,3,115.04,SAVE10,34.51,310.61,DEBIT_CARD,CONFIRMED,Chennai,South,,Edge,Ubuntu 22.04,SESS-819622
ORD-W-000236,2024-10-27 08:58:00,CUST-00033,SKU-0038,Yoga Mat,Health & Fitness,WEB,own_website,3,29.94,FESTIVE20,17.96,71.86,EMI,CONFIRMED,Ahmedabad,West,,Chrome,Ubuntu 22.04,SESS-228479
ORD-W-000237,2024-01-26 05:59:00,CUST-00045,SKU-0030,Sapiens,Books,WEB,own_website,2,26.39,,0.0,52.78,COD,DELIVERED,Pune,West,2024-01-30,Safari,macOS Ventura,SESS-296242
ORD-W-000238,2024-08-16 04:02:00,CUST-00023,SKU-0018,Levi's 501 Jeans,Apparel,WEB,facebook_shop,2,70.3,SUMMER25,35.15,105.45,NETBANKING,DELIVERED,Jaipur,North,2024-08-17,Safari,Windows 10,SESS-243902
ORD-W-000239,2024-11-25 16:15:00,CUST-00125,SKU-0013,Kindle Paperwhite,Tablets & Accessories,WEB,instagram_shop,2,156.53,SAVE10,31.31,281.75,NETBANKING,RETURNED,Kolkata,East,2024-11-30,Safari,macOS Sonoma,SESS-626797
ORD-W-000240,2024-05-18 05:01:00,,SKU-0025,KitchenAid Mixer,Kitchen Appliances,WEB,facebook_shop,1,-361.0,SUMMER25,90.25,270.75,WALLET,CONFIRMED,Ahmedabad,West,,Safari,macOS Sonoma,SESS-344068
ORD-W-000241,2024-05-06 21:15:00,CUST-00091,SKU-0007,Dell XPS 15,Laptops,WEB,google_shopping,1,1896.27,SAVE10,189.63,1706.64,WALLET,DELIVERED,Chennai,South,2024-05-10,Firefox,macOS Ventura,SESS-348041
ORD-W-000242,2024-12-23 11:58:00,CUST-00049,SKU-0021,Instant Pot Duo,Kitchen Appliances,WEB,affiliate,2,102.59,,0.0,205.18,DEBIT_CARD,CANCELLED,Lucknow,North,2024-12-28,Edge,macOS Sonoma,SESS-424065
ORD-W-000243,2024-01-20 02:03:00,CUST-00034,SKU-0032,Monopoly Classic,Toys & Games,WEB,google_shopping,1,27.14,,0.0,27.14,DEBIT_CARD,PLACED,Lucknow,North,,Safari,macOS Ventura,SESS-941403
ORD-W-000244,2024-01-12 04:37:00,CUST-00181,SKU-0004,OnePlus 12,Mobile Phones,WEB,facebook_shop,2,707.45,FESTIVE20,282.98,1131.92,CREDIT_CARD,DELIVERED,Kolkata,East,2024-01-15,Edge,macOS Sonoma,SESS-205939
ORD-W-000245,2024-06-14 04:10:00,CUST-00178,SKU-0020,H&M Hoodie,Apparel,WEB,facebook_shop,2,47.96,,0.0,95.92,COD,DELIVERED,Bangalore,South,2024-06-19,Opera,Ubuntu 22.04,SESS-334081
ORD-W-000246,2024-07-12 09:46:00,CUST-00009,SKU-0012,Samsung Tab S9,Tablets & Accessories,WEB,affiliate,2,704.59,SAVE10,140.92,1268.26,NETBANKING,CANCELLED,Lucknow,North,2024-07-17,Firefox,macOS Sonoma,SESS-433674
ORD-W-000247,2024-11-23 18:06:00,CUST-00182,SKU-0015,Sony WH-1000XM5,Audio,WEB,affiliate,4,308.92,FESTIVE20,247.14,988.54,DEBIT_CARD,SHIPPED,Kolkata,East,2024-11-24,Safari,Windows 10,SESS-111949
ORD-W-000248,2024-05-07 22:04:00,CUST-00108,SKU-0014,Bose QC45,Audio,WEB,facebook_shop,1,344.38,SAVE10,34.44,309.94,COD,PLACED,Ahmedabad,West,,Firefox,Windows 10,SESS-617033
ORD-W-000249,2024-10-06 12:06:00,CUST-00009,SKU-0023,Dyson V15,Home Appliances,WEB,instagram_shop,3,627.26,FLAT50,940.89,940.89,EMI,CONFIRMED,Delhi,North,,Safari,Windows 11,SESS-434198
ORD-W-000250,2024-02-07 10:10:00,CUST-00158,SKU-0007,Dell XPS 15,Laptops,WEB,facebook_shop,0,1601.52,FESTIVE20,1281.22,5124.86,UPI,DELIVERED,Delhi,North,2024-02-12,Edge,Windows 11,SESS-552275
ORD-W-000251,2024-08-10 05:03:00,CUST-00068,SKU-0039,Resistance Bands Set,Health & Fitness,WEB,google_shopping,1,25.24,FLAT50,12.62,12.62,COD,DELIVERED,Jaipur,North,2024-08-15,Safari,Ubuntu 22.04,SESS-349087
ORD-W-000252,2024-07-20 18:35:00,CUST-00170,SKU-0004,OnePlus 12,Mobile Phones,WEB,own_website,3,709.83,,0.0,2129.49,UPI,PLACED,Delhi,North,,Opera,Windows 10,SESS-309374
ORD-W-000253,2024-04-15 05:40:00,CUST-00170,SKU-0002,iPhone 15,Mobile Phones,WEB,own_website,1,956.66,FESTIVE20,191.33,765.33,NETBANKING,SHIPPED,Pune,West,2024-04-19,Safari,Windows 11,SESS-773045
ORD-W-000254,2024-04-04 11:56:00,CUST-00069,SKU-0025,KitchenAid Mixer,Kitchen Appliances,WEB,affiliate,1,357.76,SAVE10,35.78,321.98,UPI,SHIPPED,Ahmedabad,West,2024-04-06,Opera,Windows 11,SESS-258471
ORD-W-000255,2024-12-08 11:51:00,CUST-00108,SKU-0006,MacBook Pro M3,Laptops,WEB,own_website,2,2730.6,FLAT50,2730.6,2730.6,EMI,DELIVERED,Pune,West,2024-12-13,Opera,Windows 10,SESS-700534
ORD-W-000256,2024-06-02 02:25:00,CUST-00043,SKU-0031,LEGO Technic,Toys & Games,WEB,google_shopping,4,46.29,NEWUSER15,27.77,157.39,DEBIT_CARD,CONFIRMED,Ahmedabad,West,,Firefox,macOS Ventura,SESS-232315
ORD-W-000257,2024-02-10 21:27:00,CUST-00023,SKU-0028,Harry Potter Box Set,Books,WEB,own_website,1,84.45,NEWUSER15,12.67,71.78,UPI,DELIVERED,Hyderabad,South,2024-02-11,Edge,macOS Sonoma,SESS-516656
ORD-W-000258,2024-05-21 16:29:00,CUST-00146,SKU-0021,Instant Pot Duo,Kitchen Appliances,WEB,affiliate,4,85.31,,0.0,341.24,DEBIT_CARD,CONFIRMED,Bangalore,South,,Opera,macOS Sonoma,SESS-895216
ORD-W-000259,2024-10-15 03:50:00,CUST-00147,SKU-0007,Dell XPS 15,Laptops,WEB,own_website,1,1770.05,,0.0,1770.05,NETBANKING,CANCELLED,Hyderabad,South,2024-10-19,Opera,Windows 10,SESS-139285
ORD-W-000260,2024-07-25 04:39:00,CUST-00013,SKU-0018,Levi's 501 Jeans,Apparel,WEB,google_shopping,2,-71.64,SAVE10,14.33,128.95,COD,SHIPPED,Kolkata,East,2024-07-27,Edge,Ubuntu 22.04,SESS-490532
ORD-W-000261,2024-06-04 09:17:00,CUST-00191,SKU-0022,Philips Air Fryer,Kitchen Appliances,WEB,own_website,3,95.81,FESTIVE20,57.49,229.94,DEBIT_CARD,RETURNED,Chennai,South,2024-06-07,Edge,Ubuntu 22.04,SESS-382507
ORD-W-000262,2024-11-26 02:12:00,CUST-00015,SKU-0039,Resistance Bands Set,Health & Fitness,WEB,instagram_shop,1,30.19,,0.0,30.19,EMI,DELIVERED,Jaipur,North,2024-11-29,Opera,macOS Ventura,SESS-168804
ORD-W-000263,2024-09-16 12:08:00,CUST-00015,SKU-0046,Dog Food Premium 10kg,Pet Supplies,WEB,facebook_shop,3,83.39,SAVE10,25.02,225.15,EMI,CONFIRMED,Chennai,South,,Firefox,Windows 11,SESS-578621
ORD-W-000264,2024-12-26 06:17:00,CUST-00062,SKU-0024,Roomba j7+,Home Appliances,WEB,own_website,1,433.76,,0.0,433.76,COD,DELIVERED,Delhi,North,2024-12-27,Safari,Windows 10,SESS-722899
ORD-W-000265,2024-08-30 18:35:00,CUST-00099,SKU-0012,Samsung Tab S9,Tablets & Accessories,WEB,instagram_shop,1,711.81,SUMMER25,177.95,533.86,UPI,DELIVERED,Delhi,North,2024-08-31,Chrome,macOS Ventura,SESS-995296
ORD-W-000266,2024-04-19 07:41:00,CUST-00166,SKU-0050,Pet Carrier Bag,Pet Supplies,WEB,affiliate,1,49.59,,0.0,49.59,NETBANKING,DELIVERED,Mumbai,West,2024-04-21,Firefox,macOS Sonoma,SESS-939767
ORD-W-000267,2024-05-09 19:51:00,CUST-00118,SKU-0015,Sony WH-1000XM5,Audio,WEB,own_website,4,358.84,SUMMER25,358.84,1076.52,EMI,DELIVERED,Pune,West,2024-05-12,Safari,macOS Ventura,SESS-589368
ORD-W-000268,2024-09-23 19:25:00,CUST-00077,SKU-0044,Electric Toothbrush,Beauty & Personal Care,WEB,facebook_shop,2,63.89,,0.0,127.78,WALLET,DELIVERED,Lucknow,North,2024-09-26,Chrome,Windows 10,SESS-166938
ORD-W-000269,2024-11-23 10:55:00,CUST-00062,SKU-0018,Levi's 501 Jeans,Apparel,WEB,facebook_shop,1,70.98,SUMMER25,17.75,53.23,EMI,CONFIRMED,Jaipur,North,,Chrome,macOS Sonoma,SESS-523727
ORD-W-000270,2024-03-12 23:01:00,,SKU-0044,Electric Toothbrush,Beauty & Personal Care,WEB,facebook_shop,2,82.45,SUMMER25,41.23,123.67,NETBANKING,CANCELLED,Pune,West,2024-03-13,Opera,macOS Sonoma,SESS-955653
ORD-W-000271,2024-04-23 21:34:00,CUST-00047,SKU-0022,Philips Air Fryer,Kitchen Appliances,WEB,google_shopping,2,87.2,,0.0,174.4,EMI,DELIVERED,Bangalore,South,2024-04-28,Safari,Windows 11,SESS-593649
ORD-W-000272,2024-05-12 23:51:00,CUST-00191,SKU-0048,Bird Cage Deluxe,Pet Supplies,WEB,google_shopping,2,129.38,,0.0,258.76,UPI,DELIVERED,Chennai,South,2024-05-14,Safari,Windows 10,SESS-926372
ORD-W-000273,2024-05-13 18:18:00,CUST-00019,SKU-0024,Roomba j7+,Home Appliances,WEB,facebook_shop,1,394.87,SAVE10,39.49,355.38,WALLET,CANCELLED,Lucknow,North,2024-05-18,Edge,macOS Ventura,SESS-624788
ORD-W-000274,2024-07-14 16:19:00,CUST-00105,SKU-0044,Electric Toothbrush,Beauty & Personal Care,WEB,own_website,1,80.08,NEWUSER15,12.01,68.07,UPI,CONFIRMED,Chennai,South,,Opera,Windows 10,SESS-250181
ORD-W-000275,2024-04-02 02:31:00,CUST-00054,SKU-0046,Dog Food Premium 10kg,Pet Supplies,WEB,facebook_shop,0,93.22,,0.0,93.22,NETBANKING,DELIVERED,Mumbai,West,2024-04-05,Firefox,macOS Sonoma,SESS-901619
ORD-W-000276,2024-02-15 04:39:00,CUST-00137,SKU-0032,Monopoly Classic,Toys & Games,WEB,google_shopping,1,28.72,,0.0,28.72,CREDIT_CARD,RETURNED,Pune,West,2024-02-16,Firefox,Ubuntu 22.04,SESS-114760
ORD-W-000277,2024-09-28 06:01:00,CUST-00027,SKU-0049,Fish Tank 20G,Pet Supplies,WEB,facebook_shop,2,80.53,FLAT50,80.53,80.53,UPI,SHIPPED,Kolkata,East,2024-09-30,Edge,macOS Sonoma,SESS-717265
ORD-W-000278,2024-02-03 01:19:00,CUST-00092,SKU-0011,iPad Pro 12.9,Tablets & Accessories,WEB,facebook_shop,4,1059.42,,0.0,4237.68,UPI,DELIVERED,Bangalore,South,2024-02-07,Firefox,macOS Ventura,SESS-951452
ORD-W-000279,2024-04-26 07:46:00,CUST-00183,SKU-0002,iPhone 15,Mobile Phones,WEB,instagram_shop,5,992.17,SAVE10,496.08,4464.77,CREDIT_CARD,DELIVERED,Bangalore,South,2024-04-29,Chrome,Windows 10,SESS-771425
ORD-W-000280,2024-09-30 19:03:00,CUST-00107,SKU-0050,Pet Carrier Bag,Pet Supplies,WEB,facebook_shop,2,-47.41,FESTIVE20,18.96,75.86,CREDIT_CARD,DELIVERED,Mumbai,West,2024-10-01,Edge,Windows 10,SESS-229598
ORD-W-000281,2024-08-30 22:09:00,CUST-00070,SKU-0017,Adidas Ultraboost 22,Footwear,WEB,affiliate,1,183.86,SAVE10,18.39,165.47,COD,SHIPPED,Delhi,North,2024-09-04,Opera,macOS Sonoma,SESS-834764
ORD-W-000282,2024-02-23 16:46:00,CUST-00134,SKU-0027,Atomic Habits,Books,WEB,google_shopping,2,18.41,FESTIVE20,7.36,29.46,DEBIT_CARD,DELIVERED,Lucknow,North,2024-02-26,Firefox,Ubuntu 22.04,SESS-837606
ORD-W-000283,2024-03-23 01:35:00,CUST-00029,SKU-0019,Zara Trench Coat,Apparel,WEB,instagram_shop,1,108.23,,0.0,108.23,CREDIT_CARD,SHIPPED,Mumbai,West,2024-03-24,Opera,Windows 10,SESS-256389
ORD-W-000284,2024-09-18 02:46:00,CUST-00013,SKU-0050,Pet Carrier Bag,Pet Supplies,WEB,own_website,2,59.19,FLAT50,59.19,59.19,UPI,DELIVERED,Hyderabad,South,2024-09-22,Chrome,macOS Ventura,SESS-141360
ORD-W-000285,2024-12-12 10:27:00,CUST-00166,SKU-0024,Roomba j7+,Home Appliances,WEB,facebook_shop,2,392.31,SAVE10,78.46,706.16,COD,PLACED,Bangalore,South,,Firefox,Ubuntu 22.04,SESS-474894
ORD-W-000286,2024-05-17 23:05:00,CUST-00177,SKU-0040,Foam Roller,Health & Fitness,WEB,instagram_shop,1,20.58,FESTIVE20,4.12,16.46,UPI,DELIVERED,Ahmedabad,West,2024-05-21,Edge,Windows 10,SESS-780364
ORD-W-000287,2024-03-08 22:46:00,CUST-00146,SKU-0008,HP Spectre x360,Laptops,WEB,google_shopping,1,1735.9,NEWUSER15,260.38,1475.52,NETBANKING,CONFIRMED,Lucknow,North,,Edge,macOS Ventura,SESS-741018
ORD-W-000288,2024-07-02 19:01:00,CUST-00113,SKU-0050,Pet Carrier Bag,Pet Supplies,WEB,instagram_shop,3,58.85,NEWUSER15,26.48,150.07,CREDIT_CARD,DELIVERED,Ahmedabad,West,2024-07-06,Chrome,Windows 11,SESS-374320
ORD-W-000289,2024-12-26 21:33:00,CUST-00177,SKU-0001,Galaxy S24,Mobile Phones,WEB,facebook_shop,3,993.17,FLAT50,1489.76,1489.75,WALLET,RETURNED,Kolkata,East,2024-12-31,Opera,Windows 11,SESS-553873
ORD-W-000290,2024-06-26 21:43:00,CUST-00121,SKU-0031,LEGO Technic,Toys & Games,WEB,google_shopping,2,39.92,SAVE10,7.98,71.86,WALLET,PLACED,Bangalore,South,,Edge,macOS Ventura,SESS-178501
ORD-W-000291,2024-05-03 10:17:00,CUST-00114,SKU-0021,Instant Pot Duo,Kitchen Appliances,WEB,instagram_shop,1,90.57,,0.0,90.57,CREDIT_CARD,DELIVERED,Chennai,South,2024-05-07,Opera,Windows 10,SESS-192295
ORD-W-000292,2024-06-10 03:31:00,CUST-00024,SKU-0029,Dune,Books,WEB,instagram_shop,2,18.8,,0.0,37.6,WALLET,DELIVERED,Jaipur,North,2024-06-11,Opera,macOS Sonoma,SESS-768507
ORD-W-000293,2024-10-14 06:41:00,CUST-00085,SKU-0033,PS5 Controller,Gaming Accessories,WEB,facebook_shop,2,75.04,,0.0,150.08,EMI,DELIVERED,Chennai,South,2024-10-18,Opera,macOS Sonoma,SESS-729094
ORD-W-000294,2024-12-02 11:45:00,CUST-00163,SKU-0046,Dog Food Premium 10kg,Pet Supplies,WEB,instagram_shop,1,74.32,FLAT50,37.16,37.16,EMI,PLACED,Kolkata,East,,Safari,macOS Sonoma,SESS-647341
ORD-W-000295,2024-02-24 01:57:00,CUST-00049,SKU-0045,Sunscreen SPF50,Beauty & Personal Care,WEB,facebook_shop,1,17.7,,0.0,17.7,DEBIT_CARD,CONFIRMED,Lucknow,North,,Chrome,Windows 10,SESS-326061
ORD-W-000296,2024-06-22 03:48:00,CUST-00130,SKU-0013,Kindle Paperwhite,Tablets & Accessories,WEB,instagram_shop,1,161.17,FESTIVE20,32.23,128.94,NETBANKING,DELIVERED,Ahmedabad,West,2024-06-27,Firefox,Windows 10,SESS-104548
ORD-W-000297,2024-01-25 17:59:00,CUST-00027,SKU-0048,Bird Cage Deluxe,Pet Supplies,WEB,affiliate,1,119.55,NEWUSER15,17.93,101.62,COD,DELIVERED,Bangalore,South,2024-01-27,Edge,macOS Sonoma,SESS-735605
ORD-W-000298,2024-07-15 13:38:00,CUST-00035,SKU-0033,PS5 Controller,Gaming Accessories,WEB,facebook_shop,4,71.8,SUMMER25,71.8,215.4,UPI,SHIPPED,Kolkata,East,2024-07-19,Firefox,Windows 10,SESS-731792
ORD-W-000299,2024-12-25 17:55:00,CUST-00176,SKU-0020,H&M Hoodie,Apparel,WEB,affiliate,1,51.71,FLAT50,25.86,25.85,COD,SHIPPED,Lucknow,North,2024-12-28,Safari,macOS Ventura,SESS-844904
ORD-W-000300,2024-10-04 22:40:00,,SKU-0033,PS5 Controller,Gaming Accessories,WEB,google_shopping,0,-60.64,,0.0,60.64,WALLET,DELIVERED,Lucknow,North,2024-10-08,Opera,Ubuntu 22.04,SESS-988459
