order_id,order_date,customer_id,sku,model,category,order_type,channel,quantity,unit_price,discount_amount,total_amount,payment_method,order_status,city,region,ship_date,browser,os,session_id
ORD-W-000011,2024-07-10 05:34:00,CUST-00093,SKU-0010,ASUS ZenBook 14,Laptops,WEB,google_shopping,5,1403.71,701.86,6316.69,CREDIT_CARD,DELIVERED,Ahmedabad,West,2024-07-11,Safari,macOS Ventura,SESS-160738
ORD-W-000012,2024-02-10 02:46:00,CUST-00043,SKU-0037,Creatine Monohydrate,Health & Fitness,WEB,google_shopping,1,21.68,3.25,18.43,WALLET,CONFIRMED,Ahmedabad,West,,Safari,macOS Sonoma,SESS-736059
ORD-W-000013,2024-10-03 23:44:00,CUST-00064,SKU-0014,Bose QC45,Audio,WEB,instagram_shop,1,305.29,0.0,305.29,NETBANKING,DELIVERED,Jaipur,North,2024-10-04,Firefox,Windows 11,SESS-454508
ORD-W-000014,2024-10-10 07:37:00,CUST-00019,SKU-0038,Yoga Mat,Health & Fitness,WEB,own_website,1,30.37,3.04,27.33,EMI,SHIPPED,Mumbai,West,2024-10-13,Opera,macOS Ventura,SESS-392004
ORD-W-000015,2024-10-03 04:46:00,CUST-00049,SKU-0014,Bose QC45,Audio,WEB,instagram_shop,4,326.62,0.0,1306.48,EMI,SHIPPED,Ahmedabad,West,2024-10-07,Chrome,Windows 11,SESS-790993
ORD-W-000016,2024-08-04 13:29:00,CUST-00028,SKU-0023,Dyson V15,Home Appliances,WEB,instagram_shop,3,517.26,310.36,1241.42,EMI,CONFIRMED,Kolkata,East,,Firefox,macOS Ventura,SESS-299448
ORD-W-000017,2024-03-12 13:11:00,CUST-00167,SKU-0029,Dune,Books,WEB,affiliate,1,20.07,4.01,16.06,CREDIT_CARD,DELIVERED,Jaipur,North,2024-03-13,Opera,Windows 11,SESS-197793
ORD-W-000018,2024-07-27 15:30:00,CUST-00068,SKU-0011,iPad Pro 12.9,Tablets & Accessories,WEB,google_shopping,1,1044.34,104.43,939.91,NETBANKING,CONFIRMED,Mumbai,West,,Edge,Ubuntu 22.04,SESS-543555
ORD-W-000019,2024-09-06 04:12:00,CUST-00123,SKU-0043,Hair Dryer Pro,Beauty & Personal Care,WEB,affiliate,1,60.07,6.01,54.06,CREDIT_CARD,DELIVERED,Mumbai,West,2024-09-11,Opera,macOS Sonoma,SESS-265080
ORD-W-000020,2024-02-11 05:04:00,CUST-00153,SKU-0033,PS5 Controller,Gaming Accessories,WEB,own_website,2,-70.3,70.3,70.3,DEBIT_CARD,DELIVERED,Lucknow,North,2024-02-16,Chrome,macOS Sonoma,SESS-185965
ORD-W-000021,2024-10-25 18:33:00,CUST-00118,SKU-0043,Hair Dryer Pro,Beauty & Personal Care,WEB,instagram_shop,1,50.34,0.0,50.34,DEBIT_CARD,SHIPPED,Pune,West,2024-10-28,Safari,Windows 11,SESS-109767
ORD-W-000022,2024-10-15 03:04:00,CUST-00073,SKU-0040,Foam Roller,Health & Fitness,WEB,instagram_shop,2,21.48,6.44,36.52,DEBIT_CARD,CANCELLED,Delhi,North,2024-10-18,Firefox,Windows 10,SESS-974244
ORD-W-000023,2024-06-03 19:51:00,CUST-00030,SKU-0046,Dog Food Premium 10kg,Pet Supplies,WEB,affiliate,2,72.42,36.21,108.63,DEBIT_CARD,CANCELLED,Delhi,North,2024-06-06,Chrome,macOS Sonoma,SESS-262998
ORD-W-000024,2024-11-05 06:45:00,CUST-00024,SKU-0019,Zara Trench Coat,Apparel,WEB,facebook_shop,1,122.62,30.66,91.96,EMI,DELIVERED,Hyderabad,South,2024-11-06,Edge,Ubuntu 22.04,SESS-146228
ORD-W-000025,2024-03-07 20:16:00,CUST-00140,SKU-0022,Philips Air Fryer,Kitchen Appliances,WEB,own_website,0,86.44,0.0,86.44,CREDIT_CARD,DELIVERED,Delhi,North,2024-03-09,Chrome,Ubuntu 22.04,SESS-710805
ORD-W-000026,2024-08-08 04:02:00,CUST-00171,SKU-0010,ASUS ZenBook 14,Laptops,WEB,affiliate,1,1396.09,139.61,1256.48,COD,CANCELLED,Chennai,South,2024-08-10,Chrome,Ubuntu 22.04,SESS-918011
ORD-W-000027,2024-11-13 23:09:00,CUST-00046,SKU-0027,Atomic Habits,Books,WEB,affiliate,4,18.18,10.91,61.81,NETBANKING,RETURNED,Bangalore,South,2024-11-14,Safari,Windows 10,SESS-941204
ORD-W-000028,2024-03-22 22:06:00,CUST-00059,SKU-0018,Levi's 501 Jeans,Apparel,WEB,google_shopping,1,60.18,0.0,60.18,UPI,SHIPPED,Ahmedabad,West,2024-03-25,Firefox,Windows 11,SESS-792094
ORD-W-000029,2024-06-17 08:55:00,CUST-00085,SKU-0026,The Alchemist,Books,WEB,google_shopping,1,18.78,0.0,18.78,COD,DELIVERED,Pune,West,2024-06-22,Chrome,Windows 11,SESS-373903
ORD-W-000030,2024-05-15 01:06:00,,SKU-0038,Yoga Mat,Health & Fitness,WEB,google_shopping,2,32.77,0.0,65.54,CREDIT_CARD,DELIVERED,Jaipur,North,2024-05-19,Opera,macOS Ventura,SESS-367095
ORD-W-000031,2024-08-11 00:33:00,CUST-00160,SKU-0046,Dog Food Premium 10kg,Pet Supplies,WEB,own_website,4,83.69,167.38,167.38,COD,SHIPPED,Delhi,North,2024-08-14,Safari,Windows 11,SESS-854717
ORD-W-000032,2024-06-07 21:26:00,CUST-00192,SKU-0033,PS5 Controller,Gaming Accessories,WEB,facebook_shop,1,70.68,10.6,60.08,COD,CONFIRMED,Pune,West,,Firefox,macOS Sonoma,SESS-696750
ORD-W-000033,2024-10-07 00:19:00,CUST-00131,SKU-0026,The Alchemist,Books,WEB,facebook_shop,1,17.23,0.0,17.23,COD,DELIVERED,Ahmedabad,West,2024-10-09,Edge,macOS Ventura,SESS-790855
ORD-W-000034,2024-09-20 21:40:00,CUST-00038,SKU-0019,Zara Trench Coat,Apparel,WEB,own_website,2,104.8,104.8,104.8,EMI,DELIVERED,Chennai,South,2024-09-22,Chrome,Windows 11,SESS-356736
ORD-W-000035,2024-02-07 14:26:00,CUST-00193,SKU-0040,Foam Roller,Health & Fitness,WEB,instagram_shop,4,21.87,0.0,87.48,DEBIT_CARD,DELIVERED,Chennai,South,2024-02-08,Chrome,Windows 10,SESS-329471
ORD-W-000036,2024-09-22 14:03:00,CUST-00144,SKU-0045,Sunscreen SPF50,Beauty & Personal Care,WEB,google_shopping,2,21.59,8.64,34.54,COD,DELIVERED,Ahmedabad,West,2024-09-27,Opera,Ubuntu 22.04,SESS-891937
ORD-W-000037,2024-09-15 13:53:00,CUST-00193,SKU-0040,Foam Roller,Health & Fitness,WEB,instagram_shop,4,21.15,12.69,71.91,NETBANKING,DELIVERED,Ahmedabad,West,2024-09-18,Firefox,Ubuntu 22.04,SESS-903013
ORD-W-000038,2024-11-16 07:17:00,CUST-00036,SKU-0032,Monopoly Classic,Toys & Games,WEB,affiliate,1,30.85,15.43,15.42,WALLET,SHIPPED,Kolkata,East,2024-11-17,Firefox,macOS Ventura,SESS-501641
ORD-W-000039,2024-04-19 02:26:00,CUST-00198,SKU-0046,Dog Food Premium 10kg,Pet Supplies,WEB,google_shopping,1,83.78,0.0,83.78,NETBANKING,CONFIRMED,Pune,West,,Opera,Windows 11,SESS-998348
ORD-W-000040,2024-09-01 00:22:00,CUST-00057,SKU-0025,KitchenAid Mixer,Kitchen Appliances,WEB,affiliate,1,-378.05,0.0,378.05,EMI,DELIVERED,Jaipur,North,2024-09-06,Edge,macOS Ventura,SESS-386193
ORD-W-000041,2024-01-15 12:21:00,CUST-00007,SKU-0032,Monopoly Classic,Toys & Games,WEB,instagram_shop,2,31.49,9.45,53.53,WALLET,DELIVERED,Bangalore,South,2024-01-20,Edge,macOS Sonoma,SESS-691807
ORD-W-000042,2024-11-25 13:08:00,CUST-00087,SKU-0006,MacBook Pro M3,Laptops,WEB,own_website,3,2237.69,1678.27,5034.8,NETBANKING,SHIPPED,Chennai,South,2024-11-28,Edge,Ubuntu 22.04,SESS-888539
ORD-W-000043,2024-02-11 15:01:00,CUST-00194,SKU-0017,Adidas Ultraboost 22,Footwear,WEB,instagram_shop,2,155.34,0.0,310.68,EMI,SHIPPED,Delhi,North,2024-02-12,Chrome,macOS Ventura,SESS-309044
ORD-W-000044,2024-03-19 07:08:00,CUST-00043,SKU-0040,Foam Roller,Health & Fitness,WEB,own_website,1,19.33,9.66,9.67,EMI,DELIVERED,Hyderabad,South,2024-03-22,Opera,macOS Sonoma,SESS-884256
ORD-W-000045,2024-03-24 09:06:00,CUST-00177,SKU-0050,Pet Carrier Bag,Pet Supplies,WEB,own_website,2,59.52,0.0,119.04,CREDIT_CARD,SHIPPED,Chennai,South,2024-03-29,Firefox,Windows 11,SESS-831059
ORD-W-000046,2024-11-03 03:50:00,CUST-00166,SKU-0044,Electric Toothbrush,Beauty & Personal Care,WEB,facebook_shop,5,78.42,0.0,392.1,CREDIT_CARD,DELIVERED,Kolkata,East,2024-11-08,Safari,Windows 11,SESS-990844
ORD-W-000047,2024-02-24 13:23:00,CUST-00158,SKU-0032,Monopoly Classic,Toys & Games,WEB,instagram_shop,2,31.72,9.52,53.92,COD,DELIVERED,Jaipur,North,2024-02-27,Opera,Windows 10,SESS-587455
ORD-W-000048,2024-10-30 08:20:00,CUST-00146,SKU-0047,Cat Litter 20L,Pet Supplies,WEB,instagram_shop,3,47.6,28.56,114.24,DEBIT_CARD,SHIPPED,Ahmedabad,West,2024-11-03,Opera,Windows 10,SESS-452737
ORD-W-000049,2024-06-15 05:31:00,CUST-00143,SKU-0032,Monopoly Classic,Toys & Games,WEB,own_website,1,31.48,0.0,31.48,COD,SHIPPED,Lucknow,North,2024-06-18,Chrome,macOS Sonoma,SESS-300337
ORD-W-000050,2024-07-27 15:35:00,CUST-00057,SKU-0016,Nike Air Max 270,Footwear,WEB,own_website,0,132.94,0.0,398.82,CREDIT_CARD,DELIVERED,Mumbai,West,2024-07-30,Edge,macOS Ventura,SESS-421080
ORD-W-000051,2024-08-30 17:33:00,CUST-00065,SKU-0024,Roomba j7+,Home Appliances,WEB,affiliate,1,493.52,0.0,493.52,UPI,SHIPPED,Ahmedabad,West,2024-09-02,Firefox,Windows 11,SESS-856321
ORD-W-000052,2024-03-02 23:34:00,CUST-00195,SKU-0021,Instant Pot Duo,Kitchen Appliances,WEB,google_shopping,5,102.25,255.62,255.63,UPI,SHIPPED,Ahmedabad,West,2024-03-07,Opera,macOS Sonoma,SESS-396745
ORD-W-000053,2024-05-31 07:23:00,CUST-00179,SKU-0013,Kindle Paperwhite,Tablets & Accessories,WEB,own_website,1,127.18,19.08,108.1,WALLET,SHIPPED,Mumbai,West,2024-06-03,Firefox,Windows 10,SESS-207570
ORD-W-000054,2024-05-25 15:30:00,CUST-00103,SKU-0037,Creatine Monohydrate,Health & Fitness,WEB,own_website,1,22.4,2.24,20.16,CREDIT_CARD,SHIPPED,Ahmedabad,West,2024-05-26,Edge,Windows 11,SESS-705050
ORD-W-000055,2024-03-17 18:19:00,CUST-00098,SKU-0010,ASUS ZenBook 14,Laptops,WEB,own_website,1,1184.75,0.0,1184.75,DEBIT_CARD,DELIVERED,Lucknow,North,2024-03-22,Edge,Windows 10,SESS-411797
ORD-W-000056,2024-06-05 18:39:00,CUST-00068,SKU-0028,Harry Potter Box Set,Books,WEB,affiliate,1,87.2,17.44,69.76,COD,CANCELLED,Chennai,South,2024-06-07,Chrome,macOS Ventura,SESS-351516
ORD-W-000057,2024-02-08 05:00:00,CUST-00180,SKU-0036,Whey Protein 5lb,Health & Fitness,WEB,google_shopping,1,61.34,0.0,61.34,UPI,SHIPPED,Chennai,South,2024-02-11,Edge,Windows 11,SESS-820775
ORD-W-000058,2024-11-16 18:42:00,CUST-00019,SKU-0017,Adidas Ultraboost 22,Footwear,WEB,google_shopping,3,161.9,97.14,388.56,UPI,DELIVERED,Bangalore,South,2024-11-18,Chrome,macOS Ventura,SESS-931131
ORD-W-000059,2024-10-18 09:28:00,CUST-00113,SKU-0039,Resistance Bands Set,Health & Fitness,WEB,facebook_shop,1,28.62,0.0,28.62,WALLET,CANCELLED,Jaipur,North,2024-10-22,Chrome,macOS Sonoma,SESS-141797
ORD-W-000060,2024-06-14 19:16:00,,SKU-0048,Bird Cage Deluxe,Pet Supplies,WEB,instagram_shop,1,-108.87,10.89,97.98,WALLET,RETURNED,Hyderabad,South,2024-06-15,Firefox,Windows 10,SESS-644173
ORD-W-000061,2024-04-02 18:27:00,CUST-00172,SKU-0018,Levi's 501 Jeans,Apparel,WEB,instagram_shop,2,68.11,27.24,108.98,UPI,DELIVERED,Pune,West,2024-04-05,Chrome,macOS Ventura,SESS-445824
ORD-W-000062,2024-09-10 09:42:00,CUST-00030,SKU-0045,Sunscreen SPF50,Beauty & Personal Care,WEB,instagram_shop,4,21.07,8.43,75.85,UPI,DELIVERED,Kolkata,East,2024-09-13,Edge,macOS Sonoma,SESS-964998
ORD-W-000063,2024-10-04 14:26:00,CUST-00141,SKU-0043,Hair Dryer Pro,Beauty & Personal Care,WEB,own_website,1,53.88,0.0,53.88,DEBIT_CARD,DELIVERED,Mumbai,West,2024-10-07,Firefox,Ubuntu 22.04,SESS-559398
ORD-W-000064,2024-01-15 20:38:00,CUST-00058,SKU-0008,HP Spectre x360,Laptops,WEB,instagram_shop,3,1642.89,1232.17,3696.5,NETBANKING,DELIVERED,Jaipur,North,2024-01-16,Chrome,Windows 10,SESS-223172
ORD-W-000065,2024-05-29 16:45:00,CUST-00049,SKU-0032,Monopoly Classic,Toys & Games,WEB,google_shopping,1,31.76,0.0,31.76,DEBIT_CARD,SHIPPED,Jaipur,North,2024-06-02,Opera,macOS Sonoma,SESS-882544
ORD-W-000066,2024-05-21 13:21:00,CUST-00149,SKU-0005,Redmi Note 13,Mobile Phones,WEB,google_shopping,4,292.1,116.84,1051.56,EMI,SHIPPED,Hyderabad,South,2024-05-26,Edge,macOS Ventura,SESS-568238
ORD-W-000067,2024-06-25 10:35:00,CUST-00060,SKU-0031,LEGO Technic,Toys & Games,WEB,affiliate,3,42.49,0.0,127.47,WALLET,CANCELLED,Chennai,South,2024-06-29,Edge,Windows 11,SESS-433632
ORD-W-000068,2024-07-14 12:42:00,CUST-00152,SKU-0046,Dog Food Premium 10kg,Pet Supplies,WEB,instagram_shop,3,86.11,38.75,219.58,DEBIT_CARD,DELIVERED,Mumbai,West,2024-07-19,Safari,Windows 11,SESS-986088
ORD-W-000069,2024-09-26 14:00:00,CUST-00160,SKU-0007,Dell XPS 15,Laptops,WEB,instagram_shop,2,1713.54,514.06,2913.02,UPI,CONFIRMED,Hyderabad,South,,Edge,Windows 11,SESS-993140
ORD-W-000070,2024-09-30 12:20:00,CUST-00061,SKU-0044,Electric Toothbrush,Beauty & Personal Care,WEB,facebook_shop,2,80.39,0.0,160.78,WALLET,CANCELLED,Mumbai,West,2024-10-01,Safari,macOS Ventura,SESS-883041
ORD-W-000071,2024-02-20 20:45:00,CUST-00076,SKU-0028,Harry Potter Box Set,Books,WEB,own_website,4,76.87,76.87,230.61,UPI,CANCELLED,Mumbai,West,2024-02-21,Safari,Ubuntu 22.04,SESS-551607
ORD-W-000072,2024-09-28 13:36:00,CUST-00175,SKU-0016,Nike Air Max 270,Footwear,WEB,google_shopping,2,116.35,34.91,197.79,WALLET,CONFIRMED,Pune,West,,Firefox,Windows 10,SESS-711484
ORD-W-000073,2024-08-24 20:16:00,CUST-00114,SKU-0015,Sony WH-1000XM5,Audio,WEB,google_shopping,1,354.83,0.0,354.83,DEBIT_CARD,CANCELLED,Jaipur,North,2024-08-25,Safari,macOS Sonoma,SESS-413685
ORD-W-000074,2024-05-08 14:54:00,CUST-00092,SKU-0045,Sunscreen SPF50,Beauty & Personal Care,WEB,instagram_shop,1,22.0,0.0,22.0,WALLET,CONFIRMED,Pune,West,,Opera,Ubuntu 22.04,SESS-833247
ORD-W-000075,2024-12-03 12:17:00,CUST-00199,SKU-0002,iPhone 15,Mobile Phones,WEB,facebook_shop,0,1171.83,117.18,1054.65,EMI,CANCELLED,Ahmedabad,West,2024-12-06,Firefox,macOS Sonoma,SESS-940886
ORD-W-000076,2024-11-21 06:39:00,CUST-00009,SKU-0015,Sony WH-1000XM5,Audio,WEB,facebook_shop,1,362.57,54.39,308.18,UPI,DELIVERED,Mumbai,West,2024-11-25,Opera,Ubuntu 22.04,SESS-867934
ORD-W-000077,2024-05-31 10:47:00,CUST-00066,SKU-0006,MacBook Pro M3,Laptops,WEB,google_shopping,1,2249.6,0.0,2249.6,EMI,DELIVERED,Hyderabad,South,2024-06-02,Edge,Ubuntu 22.04,SESS-882824
ORD-W-000078,2024-08-27 02:09:00,CUST-00102,SKU-0008,HP Spectre x360,Laptops,WEB,facebook_shop,3,1449.34,0.0,4348.02,UPI,RETURNED,Jaipur,North,2024-08-28,Chrome,Ubuntu 22.04,SESS-662636
ORD-W-000079,2024-07-07 21:47:00,CUST-00007,SKU-0030,Sapiens,Books,WEB,own_website,2,24.9,0.0,49.8,NETBANKING,CONFIRMED,Chennai,South,,Opera,macOS Sonoma,SESS-443939
ORD-W-000080,2024-11-27 02:40:00,CUST-00010,SKU-0015,Sony WH-1000XM5,Audio,WEB,affiliate,3,-375.99,281.99,845.98,DEBIT_CARD,DELIVERED,Delhi,North,2024-11-28,Safari,Windows 10,SESS-221761
ORD-W-000081,2024-10-02 04:24:00,CUST-00126,SKU-0016,Nike Air Max 270,Footwear,WEB,own_website,1,132.29,0.0,132.29,NETBANKING,DELIVERED,Bangalore,South,2024-10-03,Opera,Windows 10,SESS-393328
ORD-W-000082,2024-07-08 06:28:00,CUST-00166,SKU-0045,Sunscreen SPF50,Beauty & Personal Care,WEB,own_website,1,18.18,0.0,18.18,WALLET,CONFIRMED,Kolkata,East,,Safari,Windows 11,SESS-517479
ORD-W-000083,2024-03-03 14:05:00,CUST-00033,SKU-0013,Kindle Paperwhite,Tablets & Accessories,WEB,facebook_shop,2,150.55,30.11,270.99,DEBIT_CARD,CONFIRMED,Kolkata,East,,Opera,macOS Ventura,SESS-171942
ORD-W-000084,2024-10-27 06:52:00,CUST-00038,SKU-0014,Bose QC45,Audio,WEB,affiliate,3,306.67,138.0,782.01,CREDIT_CARD,DELIVERED,Lucknow,North,2024-10-30,Firefox,macOS Sonoma,SESS-362829
ORD-W-000085,2024-12-04 00:08:00,CUST-00014,SKU-0008,HP Spectre x360,Laptops,WEB,google_shopping,1,1674.95,837.48,837.47,DEBIT_CARD,DELIVERED,Mumbai,West,2024-12-07,Firefox,Windows 10,SESS-651640
ORD-W-000086,2024-02-02 15:28:00,CUST-00187,SKU-0048,Bird Cage Deluxe,Pet Supplies,WEB,own_website,3,117.4,70.44,281.76,WALLET,DELIVERED,Chennai,South,2024-02-03,Opera,Ubuntu 22.04,SESS-580292
ORD-W-000087,2024-09-02 12:27:00,CUST-00156,SKU-0004,OnePlus 12,Mobile Phones,WEB,own_website,2,777.08,0.0,1554.16,UPI,CONFIRMED,Delhi,North,,Firefox,Windows 11,SESS-232321
ORD-W-000088,2024-11-20 18:35:00,CUST-00180,SKU-0040,Foam Roller,Health & Fitness,WEB,facebook_shop,2,20.79,10.39,31.19,NETBANKING,DELIVERED,Lucknow,North,2024-11-21,Chrome,macOS Sonoma,SESS-855855
ORD-W-000089,2024-08-19 07:26:00,CUST-00171,SKU-0028,Harry Potter Box Set,Books,WEB,google_shopping,1,77.07,0.0,77.07,NETBANKING,DELIVERED,Kolkata,East,2024-08-22,Safari,Ubuntu 22.04,SESS-260053
ORD-W-000090,2024-02-16 02:05:00,,SKU-0005,Redmi Note 13,Mobile Phones,WEB,instagram_shop,1,309.81,0.0,309.81,CREDIT_CARD,DELIVERED,Jaipur,North,2024-02-21,Opera,macOS Sonoma,SESS-445658
ORD-W-000091,2024-06-30 21:48:00,CUST-00027,SKU-0027,Atomic Habits,Books,WEB,own_website,1,21.58,2.16,19.42,UPI,RETURNED,Lucknow,North,2024-07-03,Opera,macOS Sonoma,SESS-323072
ORD-W-000092,2024-09-03 07:54:00,CUST-00058,SKU-0043,Hair Dryer Pro,Beauty & Personal Care,WEB,google_shopping,1,58.37,0.0,58.37,WALLET,CONFIRMED,Hyderabad,South,,Edge,macOS Sonoma,SESS-904711
ORD-W-000093,2024-12-11 20:35:00,CUST-00196,SKU-0040,Foam Roller,Health & Fitness,WEB,affiliate,1,23.81,5.95,17.86,COD,PLACED,Hyderabad,South,,Safari,Ubuntu 22.04,SESS-468074
ORD-W-000094,2024-03-14 18:42:00,CUST-00097,SKU-0012,Samsung Tab S9,Tablets & Accessories,WEB,own_website,1,707.49,70.75,636.74,DEBIT_CARD,CONFIRMED,Jaipur,North,,Edge,Windows 10,SESS-457455
ORD-W-000095,2024-06-08 23:20:00,CUST-00013,SKU-0024,Roomba j7+,Home Appliances,WEB,google_shopping,3,445.36,267.22,1068.86,DEBIT_CARD,CANCELLED,Bangalore,South,2024-06-13,Chrome,Ubuntu 22.04,SESS-564637
ORD-W-000096,2024-11-06 14:26:00,CUST-00125,SKU-0032,Monopoly Classic,Toys & Games,WEB,instagram_shop,1,31.16,6.23,24.93,UPI,SHIPPED,Delhi,North,2024-11-11,Opera,Ubuntu 22.04,SESS-147623
ORD-W-000097,2024-11-02 01:00:00,CUST-00002,SKU-0026,The Alchemist,Books,WEB,google_shopping,1,19.55,2.93,16.62,UPI,DELIVERED,Hyderabad,South,2024-11-03,Edge,Windows 10,SESS-284229
ORD-W-000098,2024-09-29 22:14:00,CUST-00005,SKU-0025,KitchenAid Mixer,Kitchen Appliances,WEB,google_shopping,2,422.28,0.0,844.56,NETBANKING,CONFIRMED,Mumbai,West,,Edge,Windows 11,SESS-428267
ORD-W-000099,2024-10-20 12:45:00,CUST-00159,SKU-0028,Harry Potter Box Set,Books,WEB,affiliate,2,73.79,0.0,147.58,DEBIT_CARD,PLACED,Kolkata,East,,Edge,Ubuntu 22.04,SESS-192410
ORD-W-000100,2024-05-04 13:37:00,CUST-00020,SKU-0007,Dell XPS 15,Laptops,WEB,instagram_shop,0,-1564.52,391.13,1173.39,UPI,DELIVERED,Chennai,South,2024-05-06,Opera,Windows 11,SESS-656379
